名称,住所１,住所２,住所3,住所４,町名
三ツ池公園（鶴見区）,神奈川県,横浜市,鶴見区,三ツ池公園1-1,師岡町、樽町1～4丁目
高田小学校一帯,神奈川県,横浜市,港北区,高田町1774,高田町、高田西1～5丁目、高田東1～4丁目、下田町1～6丁目
慶應義塾大学,神奈川県,横浜市,港北区,日吉4-1-1,箕輪町1～3丁目、日吉1～7丁目、綱島東1～6丁目、綱島西2～3丁目
コンフォール南日吉一帯,神奈川県,横浜市,港北区,日吉本町4-10ほか,綱島西1丁目、綱島西4～6丁目、綱島台、日吉本町1～6丁目
新羽小中高一帯,神奈川県,横浜市,港北区,新羽町1452-2,新羽町の一部、北新横浜1～2丁目
港北高校一帯,神奈川県,横浜市,港北区,大倉山七丁目35番1号,大曽根台、大曽根1～3丁目、大倉山1～7丁目、大豆戸町の一部
新横浜駅前及び日産スタジアム,神奈川県,横浜市,港北区,篠原町2937／小机町3300,小机町の一部、鳥山町の一部、篠原町の一部、富士塚1～2丁目、錦が丘、篠原北1～2丁目、大豆戸町の一部、菊名1～7丁目、新横浜1～3丁目
岸根公園,神奈川県,横浜市,港北区,岸根町725-1,岸根町、篠原西町、篠原台町、仲手原1～2丁目、篠原町の一部、篠原東1～3丁目
勝田団地（都筑区）,神奈川県,横浜市,都筑区,勝田町266番地1,新吉田町の一部、綱島上町、新吉田東1～8丁目
