名称,住所１,住所２,住所3,住所4,営業日,時間:start,時間:end,備考
鯛ヶ崎公園プレイパーク（日吉本町鯛ヶ崎公園）,神奈川県,横浜市,港北区,日吉本町5-62,"火曜～木曜
第2･4土曜とそれにつづく日曜",10:00,17:00,
日吉ろっこうプレイパーク（日吉六丁目鏡ケ淵公園）,神奈川県,横浜市,港北区,日吉6-6,第2・4水曜,14:00,17:00,雨天中止
太尾公園つちのこプレイパーク（太尾公園）,神奈川県,横浜市,港北区,大倉山7-40-1,"第2・4金曜
8月・2月は休み",10:30,17:00,"11月～1月：16:30まで
雨天中止"
