#T020100　【～第95回横浜市統計書】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第2章　人口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#第1表　行政区別世帯数及び人口の推移,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#資料：政策局総務部統計情報課,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#本表は、第1回からの国勢調査結果及び平成元年からの推計人口（国勢調査による人口を基礎とし、これに毎月の住民基本台帳法及び戸籍法の定める届出等の増減を加減して推計した人口）です。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#各年10月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
世帯数,大正9年,大正14年,昭和5年,昭和10年,昭和15年,昭和22年,昭和25年,昭和30年,昭和35年,昭和40年,昭和45年,昭和50年,昭和55年,昭和60年,平成2年,平成4年,平成5年,平成6年,平成7年,平成8年,平成9年,平成10年,平成11年,平成12年,平成13年,平成14年,平成15年,平成16年,平成17年,平成18年,平成19年,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年
西区,,,,,,66442,85292,100446,104173,104255,97906,89015,80539,78858,76978,75887,75474,75283,75758,75086,75756,76618,76788,78320,79526,80398,82157,83762,84944,85376,87987,91866,93020,94867,95205,96919,97119,97684,98532
中区,,,329678,348941,386020,77014,89813,105925,123624,136882,132470,131346,121476,118274,116634,117142,116866,116208,116923,117787,118369,120395,121973,124718,127558,130475,133526,137326,140167,141363,143177,143939,146640,146033,146412,147246,147112,147489,148312
南区,,,,,,118578,142763,171525,194558,248108,193221,198187,192020,191578,194617,195032,194654,193632,192518,192356,193237,193877,194351,195242,195969,196318,196937,197372,196822,196483,195770,196327,197113,196153,195317,195114,194497,194473,194827
港南区,,,,,,,,,,,104426,151682,185713,206980,224036,224970,224418,222939,222694,221857,221789,222673,222610,222596,222670,223184,222986,223132,221837,221440,221672,221819,221685,221411,220483,218827,217976,216958,215736
保土ケ谷区,,,41557,47642,63981,64778,74156,96822,143804,223038,166766,177092,179860,184013,195795,196272,197534,197848,197435,196517,197595,198226,199604,201642,203153,204855,205144,204846,204266,204308,205171,205878,206109,206634,205875,205223,204422,204442,205493
旭区,,,,,,,,,,,161187,200245,210887,234544,248882,252007,252795,252420,251052,250072,250203,250600,251504,252836,253390,254227,254676,253391,249680,248559,248151,248131,249086,251086,250648,249774,248996,248164,247144
磯子区,,,34084,37836,76966,106396,62343,67991,74458,95716,116018,156165,156586,162484,168846,170148,169801,169255,168568,167839,167820,167847,166806,165015,164342,164446,164154,162893,163525,163187,164697,164086,163669,163237,162220,162115,161861,163249,166229
金沢区,,,,,,,56040,63974,71446,86251,108693,135349,154687,176055,197753,201342,202450,203375,203979,204846,205894,205622,205566,205439,206226,206440,206358,208317,210658,212402,211364,210502,210113,209274,208033,206694,204851,203661,202229
港北区,,,,,56432,87958,93421,111095,147688,235046,221511,255275,265506,280670,305774,317307,322496,330633,279333,281676,283975,288550,291363,294305,298157,300815,305080,307637,311722,316522,320961,323394,325590,329471,331937,334040,338378,341324,344172
緑区,,,,,,,,,,,147156,236251,289766,365934,426663,439600,447850,453068,148498,149479,149881,151521,154150,158159,160825,165254,168024,169266,169831,171987,173539,175034,175964,177631,177523,178309,178735,179326,180366
青葉区,,,,,,,,,,,,,,,,,,,248960,251600,255901,260654,265025,270044,277517,282276,285964,289990,295603,298358,300193,300462,302713,304297,305687,306738,307690,308587,309692
都筑区,,,,,,,,,,,,,,,,,,,116776,124218,130958,140320,147401,155092,161245,166081,170268,173663,179008,182933,186457,193595,198337,201271,203999,206997,209487,210430,211751
戸塚区,,,,,42697,65330,69425,82084,113514,207606,248696,339420,402239,444116,238536,242295,242440,242675,243400,244519,245773,247255,248695,251020,252736,256028,258120,259130,261616,267581,269852,271915,273547,274324,274351,273850,273858,274565,275283
栄区,,,,,,,,,,,,,,,123766,124714,124860,124641,122904,121799,120586,119780,118968,118315,118264,119132,120385,123051,123802,124361,124360,125023,124989,124866,124782,124191,123272,122304,122171
泉区,,,,,,,,,,,,,,,126866,132520,134702,137171,139459,140966,142698,143759,145420,147370,148947,150070,150916,151636,152349,152906,154165,155311,155662,155698,155409,155499,154893,154540,154025
瀬谷区,,,,,,,,,,,76492,95291,101124,111275,119575,121771,122665,122859,121489,121600,121162,121174,121489,121711,121902,122591,123813,125531,127405,127135,127149,126797,126922,126913,126312,126054,125685,125417,124560
全市,422938,405888,620306,704290,968091,814379,951189,1143687,1375710,1788915,2238264,2621771,2773674,2992926,3220331,3272180,3288464,3300513,3307136,3320087,3339594,3368939,3392937,3426651,3461545,3496927,3527295,3555473,3579628,3602263,3627420,3651428,3671776,3688773,3691693,3697006,3702551,3710008,3724844
